,comments,clean_comments,prediction
5,Wann gibt es endlich den veganen Schinken aus den veganen Cordon Bleu separat? ,wann gibt endlich vegan schink vegan cordon bleu separat ?,1
9,Bitte vegan ,bitt vegan,1
13,"wenn ihr euch für Menschen, Tiere und die Umwelt engagiert, veganisiert ihr jetzt endlich alle restlichen Tierqualprodukte?  Mega Entwicklung. ","mensch , tier umwelt engagiert , veganisiert endlich restlich tierqualprodukt ? mega entwickl .",1
14,"mich würde es eher interessieren, wann ihr das mit diesem ""traditionellen tierischem"" endlich aufhört und statt dessen auf rein vegetarisch - allerdings noch besser - "" rein vegan"" umstellt, denn dass dies bei euch mehr Gewinn einfährt, wird ja durch die Zahlen immer wieder belegt und somit könnt ihr dann tatsächlich mehr für das Klima, unsere gemeinsame Umwelt, unseren Nachkommen und das sinnlose töten von Lebewesen tun","eher interessi , wann `` traditionell tierisch '' endlich aufhort statt rein vegetar - allerding bess - `` rein vegan '' umstellt , mehr gewinn einfahrt , ja zahl imm belegt somit konnt tatsach mehr klima , gemeinsam umwelt , nachkomm sinnlos tot lebewes tun",0
17,Warum nicht vegan? Wozu immer erst der Umweg über vegetarisch?,warum nicht vegan ? wozu imm erst umweg vegetar ?,1
18,"Ich mag Euch für veggie, aber feiern würde ich Euch für vegan. Bekommt Ihr das hin? ","mag veggi , feiern vegan . bekommt ?",1
21,"In einer veganen Variante wäre es mir lieber. Ich bin zwar nur Vegetarier, achte aber sehr auf die Haltungsweise bei Hühnereiern. Das hier verwendete Hühnereiweiß erfüllt jedenfalls nicht die Anforderungen an Bio-Verhältnisse. Daher scheidet dieses Produkt für mich - und sicher auf für andere - aus.","vegan variant war lieb . vegetari , acht sehr haltungsweis huhnerei . verwendet huhnereiweiss erfullt jedenfall nicht anforder bio-verhaltnis . dah scheidet produkt - sich - .",1
36,Einmal in vegan bitte ,vegan bitt,1
37,Warum gibts die net vegan ?  am besten mit Bifi Geschmack,warum gibt net vegan ? best bifi geschmack,1
40,"Leider nur vegetarisch. Wenn es vegan wäre ja, aber so No Go…","leid vegetar . vegan war ja , no go…",0
